Image1,Image2,Label
Arc_de_T\front_right\Arc de Triomphe du Carrousel 001.jpg,Arc_de_T\front\Arc de Triomphe du Carrousel (27709242844).jpg,False
Arc_de_T\front\Paris Louvre Arc du Triomphe du Caroussel 6.jpg,"Arc_de_T\front\From Louvre to La Défense, Paris 2012.jpg",True
Arc_de_T\front_right\Paris - Jardin des Tuileries - Arc de Triomphe du Carrousel - PA00085992 - 002.jpg,"Arc_de_T\front\Vue générale de face de l'Arc de Triomphe du Carrousel, Paris, avril 1898.jpg",False
"Arc_de_T\back\Paris, Arc de Triomphe du Carrousel 2014-12.jpg","Arc_de_T\front_left\Arc de Triomphe du Carrousel at Night, Paris 2012.jpg",False
Arc_de_T\front_right\Arc de Triomphe du Carrousel in 2009 (3385423948).jpg,"Arc_de_T\front_left\A street vendor and the Arc de Triomphe du Carrousel, Paris 17 April 2014.jpg",False
Arc_de_T\back\Tuilerieën 1.JPG,"Arc_de_T\front_left\Arc de Triomphe du Carrousel at Night, Paris 2012.jpg",False
Arc_de_T\front\Paris Louvre Arc du Triomphe du Caroussel 3.jpg,Arc_de_T\back\Arc Triomphe Carrousel - Paris I (FR75) - 2021-05-31 - 2.jpg,False
"Arc_de_T\front_left\Arc de Triomphe du Carrousel, Paris, France - panoramio (66).jpg",Arc_de_T\front\Arc de triomphe du Carousel.jpg,False
Arc_de_T\front_left\PA00085992 carrousel du louvre.jpg,Arc_de_T\back\Musée du Louvre-7809021 (52094162034).jpg,False
Arc_de_T\front\Arc Triomphe Carrousel façade est Paris 20.jpg,Arc_de_T\front\Arc Triomphe Carrousel façade est Paris 7.jpg,True
Arc_de_T\front\Arc Triomphe Carrousel façade est Paris 15.jpg,Arc_de_T\front\Outside the Musee du Louvre (2668069166).jpg,True
"Arc_de_T\front\Arc de Triomphe du Carrousel, Paris 6 September 2008.jpg",Arc_de_T\front_left\Arc de Triomphe du Carrousel (29663955354).jpg,False
Arc_de_T\front_right\Arc de Triomphe du Carrousel in 2009 (3385423948).jpg,Arc_de_T\front_left\Arc de Triomphe du Carrousel.003 - Paris.jpg,False
"Arc_de_T\front\Arc de Triomphe du Carrousel, 1831.jpg",Arc_de_T\right\Paris - Arc de Triomphe du Carrousel - PA00085992 - 041.jpg,False
Arc_de_T\back\Louvre Gate 2.jpg,Arc_de_T\front\Paris - Arc de Triomphe du Carrousel - panoramio.jpg,False
"Arc_de_T\back\Arc de Triomphe du Carrousel, Paris August 8, 2011.jpg","Arc_de_T\front\Paris, le plan deau autour de la pyramide avec lArc de triomphe du Carrousel au loin et la statue équestre de Louis XIV.jpg",False
"Arc_de_T\back\P1080420 France, Paris, façade ouest de l'Arc de Triomphe du Carrousel et le Louvre, vus du jardin des Tuileries (5629162727).jpg","Arc_de_T\front\Arc de Triomphe du Carrousel August 31, 2007.jpg",False
"Arc_de_T\front_right\Arc de Triomphe du Carrousel, Paris 5 February 2019.jpg","Arc_de_T\front_right\Arc de Triomphe du Carrousel September 1, 2012.jpg",True
Arc_de_T\back\El Louvre a través del Arco de triunfo del Carrusel.jpg,"Arc_de_T\back\Testard, Aspect général de Paris 2, 1860.jpg",True
Arc_de_T\back\Paris - Palais du Louvre - PA00085992 - 685.jpg,"Arc_de_T\front\Outside the musée du Louvre, Paris 2008.jpg",False
Arc_de_T\front_right\The Arc de Triomphe du Carrousel - panoramio.jpg,"Arc_de_T\back\Arc de triomphe, parc des Tuileries, Paris 2009.jpg",False
Arc_de_T\front_right\Paris - Palais du Louvre - PA00085992 - 454.jpg,Arc_de_T\front\Arc Triomphe Carrousel façade est Paris 12.jpg,False
"Arc_de_T\front\Arc de Triomphe du Carrousel, Paris 10 June 2013.jpg",Arc_de_T\front\Paris - Arc de Triomphe du Carrousel - PA00085992 - 028.jpg,True
"Arc_de_T\right\Right side views of the Arc de Triomphe du Carrousel, September 2017.jpg","Arc_de_T\front_right\Arc de Triomphe du Carrousel, Paris 5 February 2019.jpg",False
Arc_de_T\front_left\Paris-Arc de Triomphe du Carrousel-108-2017-gje.jpg,Arc_de_T\back\Carrusel del Louvre - París (4757352447).jpg,False
Arc_de_T\back\Arc Triomphe Carrousel façade ouest Paris 8.jpg,"Arc_de_T\back\Large round basin of Jardin des Tuileries, Paris 2 August 2015 002.jpg",True
"Arc_de_T\front_right\Arc de Triomphe du Carrousel - Paris, France.JPG",Arc_de_T\right\Paris - Arc de Triomphe du Carrousel - PA00085992 - 052.jpg,False
Arc_de_T\back\Concorde - Arch.jpg,Arc_de_T\back\Arc de triomphe du Carrousel du Louvre.JPG,True
"Arc_de_T\front\Arc de Triomphe du Carrousel, Louvre, Paris 2007.jpg",Arc_de_T\front_right\The Arc de Triomphe du Carrousel - panoramio.jpg,False
Arc_de_T\front\Arc de Triomphe du Carrousel - panoramio.jpg,Arc_de_T\front_left\Arch of the Carrousel (8183495079).jpg,False
Arc_de_T\back\Musée du Louvre - arc de triomphe du Carrousel (Paris) (2).jpg,Arc_de_T\front\Arc de Triomphe du Carrousel - panoramio.jpg,False
"Arc_de_T\back\Carrousel August 2, 1968.jpg",Arc_de_T\front\Arc de Triomphe du Carrousel 1890-1900.jpg,False
Arc_de_T\front_left\Paris - Palais du Louvre - PA00085992 - 802.jpg,Arc_de_T\front_left\Paris - Palais du Louvre - PA00085992 - 804.jpg,True
Arc_de_T\front_right\Arc de Triomphe du Carrousel (8447717305).jpg,Arc_de_T\front_left\Paris - Arc de triomphe du Carrousel (31434422705).jpg,False
Arc_de_T\front\Arc de triomphe du carrousel and louvre.jpg,Arc_de_T\back\Louvre Gate.jpg,False
"Arc_de_T\back\Testard, Aspect général de Paris 2, 1860.jpg",Arc_de_T\front_right\Paris - Palais du Louvre - PA00085992 - 54.jpg,False
"Arc_de_T\front_left\Arc de Triomphe du Carrousel, Paris 13 June 2014.jpg","Arc_de_T\front\Arc de Triomphe in Parijs Paris. Arc de Triomphe du Caroussel (titel op object), RP-F-F01886.jpg",False
Arc_de_T\front\Paris - Arc de Triomphe du Carrousel - panoramio.jpg,Arc_de_T\back\Paris (48383871527).jpg,False
"Arc_de_T\back\People in the Tuileries Gardens, Paris 2014.jpg","Arc_de_T\left\Paris, Arc de Triomphe du Carrousel, 22 July 2008.jpg",False
Arc_de_T\front\Arc Triomphe Carrousel façade est Paris 20.jpg,"Arc_de_T\back\Large round basin of Jardin des Tuileries, Paris 2 August 2015 003.jpg",False
Arc_de_T\front\Paris - Arc de Triomphe du Carrousel - panoramio (1).jpg,Arc_de_T\front_left\Jardín des Tuileries (París).jpg,False
Arc_de_T\right\Paris - Arc de Triomphe du Carrousel - PA00085992 - 052.jpg,"Arc_de_T\front\Paris, July 1974 - Arc de Triomphe du Carrousel 03.jpg",False
Arc_de_T\front_right\Paris Arc de Triomphe du Carrousel SW 01d.jpg,"Arc_de_T\front\P1080423 France, Paris, la façade est de l'Arc de Triomphe du Carrousel construit sous Napoléon Bonaparte (5629742896).jpg",False
Arc_de_T\front\Arc Triomphe Carrousel façade est Paris 14.jpg,Arc_de_T\back\Carrusel del Louvre - París (4757352447).jpg,False
Arc_de_T\front\Arch of the Carrousel (8183492983).jpg,Arc_de_T\front\Arc Triomphe Carrousel façade est Paris 3.jpg,True
Arc_de_T\back\Francia (Lourvre).jpg,"Arc_de_T\front_right\Arc de Triomphe du Carrousel, Paris May 2009 001.jpg",False
Arc_de_T\front_left\Carrousel du Louvre.jpg,Arc_de_T\front\Arc du Carrousel dans le jardin des tuileries..JPG,False
Arc_de_T\front\Paris 20080801 - Arc de Triomphe du Carrousel.jpg,Arc_de_T\front_right\Revuesousl'empire.JPG,False
"Arc_de_T\back\Large round basin of Jardin des Tuileries, Paris 2 August 2015 001.jpg",Arc_de_T\front_right\Arc de Triomphe du Carrousel 2006.jpg,False
"Arc_de_T\front\La capitulation d'Ulm by Pierre Cartellier, 16 April 2007.jpg",Arc_de_T\front_left\Carrousel vu du Louvre.jpg,False
Arc_de_T\front_right\Paris 238.jpg,Arc_de_T\back\Paris 20130809 - Arc de Triomphe du Carrousel.jpg,False
Arc_de_T\front\Outside the Musee du Louvre (2668069166).jpg,Arc_de_T\front\Arc de triomphe du Carrousel Face avant.jpg,True
"Arc_de_T\back\Large round basin of Jardin des Tuileries, Paris 2 August 2015 002.jpg",Arc_de_T\back\Arc de Triomphe du Carrousel in 2009 (3385434964).jpg,True
Arc_de_T\back\Louvre Gate 2.jpg,Arc_de_T\front\Arc Triomphe Carrousel façade est Paris 15.jpg,False
Arc_de_T\front\Arc Triomphe Carrousel façade est Paris 12.jpg,Arc_de_T\front_left\Carrousel vu du Louvre.jpg,False
Arc_de_T\front_right\Paris 238.jpg,Arc_de_T\back\Paris Arc du Carrousel W 01a.jpg,False
Arc_de_T\front\Paris Louvre Arc du Triomphe du Caroussel 4.jpg,Arc_de_T\back\Paris (48383871527).jpg,False
"Arc_de_T\back\Arc de Triomphe du Carrousel from Tuileries, Paris 2 August 2015.jpg",Arc_de_T\back\PARIS - Arc de Triomphe du Carrousel.jpg,True
"Arc_de_T\front_left\Paris, France. PALAIS DU LOUVRE. ARC DE TRIOMPHE DU CARROUSEL (PA00085992).jpg","Arc_de_T\front\Ceiling of room 76, Louvre 25 November 2011 A.jpg",False
Arc_de_T\front\Arc de Triomphe du Carrousel - panoramio (2).jpg,Arc_de_T\back\Arc Triomphe Carrousel façade ouest Paris 6.jpg,False
Arc_de_T\front\巴黎小凯旋门.jpg,Arc_de_T\front\Arc du Triomphe du Carrousel (27671887384).jpg,True
"Arc_de_T\front_left\Outside of Museum Louvre. Paris, France.jpg",Arc_de_T\front_right\Arc de Triomphe du Carrousel 2006.jpg,False
Arc_de_T\front\Paris (8732345724).jpg,Arc_de_T\left\Entrée à Vienne - Arc de Triomphe du Carrousel @ Paris (34406096271).jpg,False
Arc_de_T\front\Arc de Triomphe du Carrousel (46819412131).jpg,Arc_de_T\front_left\Paris - Palais du Louvre - PA00085992 - 804.jpg,False
Arc_de_T\front\Arc Triomphe Carrousel façade est Paris 17.jpg,"Arc_de_T\front_left\Arc de Triomphe du Carrousel, Paris 11 May 2014.jpg",False
Arc_de_T\back\Paris - Le Louvre et Arc de Triomphe du Carrousel (tone-mapping).jpg,"Arc_de_T\front\Arc de Triomphe du Carrousel, Paris 26 May 2017.jpg",False
Arc_de_T\back\Arc-de triomphe-du-Carroussel.jpg,Arc_de_T\front_right\Paris - Palais du Louvre - PA00085992 - 453.jpg,False
Arc_de_T\right\Arc du Carrousel - Paris - Médiathèque de l'architecture et du patrimoine - APMH00006676.jpg,Arc_de_T\back\Paris - Louvre 1.jpg,False
"Arc_de_T\back\Jardin des Tuileries, 2012, by night (3).JPG","Arc_de_T\back\Allée centrale du jardin des Tuileries, Paris 15 July 2006.jpg",True
"Arc_de_T\back\Large round basin of Jardin des Tuileries 1, Paris 15 July 2006.jpg",Arc_de_T\front\Arc Triomphe Carrousel façade est Paris 17.jpg,False
Arc_de_T\front_right\Paris 75001 Place du Carrousel towards Pavillon de Marsan 01.jpg,"Arc_de_T\back\Arc de Triomphe du Carrousel from Tuileries, Paris October 2011.jpg",False
Arc_de_T\front\Arc de Triomphe Carrousel (5987334808).jpg,Arc_de_T\front\Arc de Triomphe du Carrousel (31651143492).jpg,True
Arc_de_T\back\El Louvre a través del Arco de triunfo del Carrusel.jpg,Arc_de_T\front_right\Arco del Triunfo del Carrusel.JPG,False
Arc_de_T\back\Arc Triomphe Carrousel façade ouest Paris 2.jpg,Arc_de_T\front_left\Carrousel du Louvre.jpg,False
Arc_de_T\front_left\Paris - Palais du Louvre - PA00085992 - 815.jpg,"Arc_de_T\front_left\Arc de Triomphe du Carrousel, 19 June 2009.jpg",True
Arc_de_T\front_right\Paris Arc de Triomphe du Carrousel SW 01d.jpg,Arc_de_T\front_left\From Louvre to the Eiffel Tower.jpg,False
"Arc_de_T\front_right\Arc de Triomphe du Carrousel, Paris 1979.jpg",Arc_de_T\front\巴黎小凯旋门.jpg,False
Arc_de_T\front_left\Arc de Triomphe du Carrousel.003 - Paris.jpg,Arc_de_T\front_right\Paris - Palais du Louvre - PA00085992 - 454.jpg,False
"Arc_de_T\front\L'arc fait la roue, Paris 1 mai 2016.jpg",Arc_de_T\front\Outside the Musee du Louvre (2518666275).jpg,True
Arc_de_T\front_left\From Louvre to the Eiffel Tower.jpg,Arc_de_T\front\Arc de Triomphe du Carrousel - panoramio (2).jpg,False
"Arc_de_T\front_right\Arc de Triomphe du Carrousel, Paris 1979.jpg",Arc_de_T\front\Paris arc du carrousel - 1900.jpg,False
Arc_de_T\back\Paris arc du carrousel.jpg,Arc_de_T\front\Upper part of Arc de triomphe du Carrousel.jpg,False
Arc_de_T\front_left\Paris - Arc de Triomphe du Carrousel - PA00085992 - 017.jpg,"Arc_de_T\left\The Arc de Triomphe du Carrousel, Paris 26 September 2013.jpg",False
Arc_de_T\back\Paris 75001 Jardins du Carrousel 20120101 Arc de Triomphe.jpg,Arc_de_T\back\Paris Louvre Arc du Triomphe du Caroussel 1.jpg,True
"Arc_de_T\front\Paris, le plan deau autour de la pyramide avec lArc de triomphe du Carrousel au loin et la statue équestre de Louis XIV.jpg",Arc_de_T\front_left\PA00085992 carrousel du louvre.jpg,False
"Arc_de_T\back\Arc de triomphe, parc des Tuileries, Paris 2009.jpg",Arc_de_T\front\Capitulation Ulm Arc Triomphe Carrousel façade est Paris 1.jpg,False
Arc_de_T\front\Arc de Triomphe du Carrousel - panoramio (2).jpg,"Arc_de_T\back\Arc de Triomphe du Carrousel, Paris, France - panoramio (28).jpg",False
Arc_de_T\right\Paris - Arc de Triomphe du Carrousel - PA00085992 - 041.jpg,Arc_de_T\front_left\Arc de Triomphe du Carrousel.001 - Paris.jpg,False
Arc_de_T\front\Arc de Triomphe du Carrousel - panoramio (2).jpg,Arc_de_T\front\Capitulation Ulm Arc Triomphe Carrousel façade est Paris 1.jpg,True
Arc_de_T\front\Capitulation Ulm Arc Triomphe Carrousel façade est Paris 2.jpg,Arc_de_T\front_left\Paris - Arc de triomphe du Carrousel (31434422705).jpg,False
Arc_de_T\front_right\Paris - Palais du Louvre - PA00085992 - 453.jpg,Arc_de_T\front_left\Paris l'Arc de triomphe du Carousel.jpg,False
"Arc_de_T\back\Arc de Triomphe du Carrousel from Tuileries, Paris 2 August 2015.jpg",Arc_de_T\front_right\Arc de Triomphe du Carrousel 001.jpg,False
Arc_de_T\front_right\Louvre Museum and Arc de Triomph.JPG,"Arc_de_T\front\Gezicht op de Arc de Triomphe du Carrousel te Parijs Arc de Triomphe du Carrousel (titel op object), RP-F-2001-7-1744-3.jpg",False
Arc_de_T\front\AdTdC2007.jpg,Arc_de_T\back\Musée du Louvre - arc de triomphe du Carrousel (Paris) (2).jpg,False
"Arc_de_T\front\Ceiling of room 76, Louvre 25 November 2011 A.jpg",Arc_de_T\front\AdT du Carrousel.jpg,True
Arc_de_T\back\Musee de louvre paris - panoramio.jpg,Arc_de_T\front_right\Paris - Jardin des Tuileries - Arc de Triomphe du Carrousel - PA00085992 - 001.jpg,False
Arc_de_T\front_left\Arc de Triomphe du Carrousel - panoramio (4).jpg,Arc_de_T\front\Paris Louvre Arc du Triomphe du Caroussel 2.jpg,False
Arc_de_T\front_left\Arc de Triomphe du Carrousel in 2013.02.jpg,Arc_de_T\front\État actuel de la place du Carrousel.jpg,False
"Arc_de_T\front\La capitulation d'Ulm by Pierre Cartellier, Paris 15 August 2013.jpg","Arc_de_T\front\France, Paris, l'emplacement de la pyramide inversée, l'arc de triomphe du Carrousel en arrière, et le Pavillon de Marsan à droite.jpg",True
Arc_de_T\front\Paris Louvre Arc du Triomphe du Caroussel 6.jpg,Arc_de_T\back\Arc Triomphe Carrousel façade ouest Paris 6.jpg,False
Arc_de_T\front\Projection sur l'arc de triomphe du carrousel du louvre d'un autoportrait de Arnaud Prinstet.jpg,Arc_de_T\front\Arc Triomphe Carrousel façade est Paris 11.jpg,True
Arc_de_T\front_left\Arc de triomphe du carrousel in Paris France.jpg,Arc_de_T\back\Arc Triomphe Carrousel façade ouest Paris 1.jpg,False
"Arc_de_T\back\Carrousel August 2, 1968.jpg","Arc_de_T\back\Arc de Triomphe du Carrousel from Tuileries, Paris 16 April 2014 002.jpg",True
"Arc_de_T\front\P1080423 France, Paris, la façade est de l'Arc de Triomphe du Carrousel construit sous Napoléon Bonaparte (5629742896).jpg",Arc_de_T\front\Paris Louvre Arc du Triomphe du Caroussel 5.jpg,True
Arc_de_T\back\Paris - Le Louvre et Arc de Triomphe du Carrousel (tone-mapping).jpg,Arc_de_T\back\Jardin des tuileries (Paris).jpg,True
Arc_de_T\front_right\Paris - Jardin des Tuileries - Arc de Triomphe du Carrousel - PA00085992 - 000.jpg,Arc_de_T\back\Paris 20130809 - Arc de Triomphe du Carrousel.jpg,False
Arc_de_T\back\Arc Triomphe Carrousel façade ouest Paris 3.jpg,Arc_de_T\front_right\Paris Arc de Triomphe du Carrousel SW 01d.jpg,False
"Arc_de_T\front_left\A street vendor and the Arc de Triomphe du Carrousel, Paris 17 April 2014.jpg",Arc_de_T\front_left\Arc de Triomphe du Carrousel in 1979 (28318638538).jpg,True
Arc_de_T\front\Parigi - Arc du Carrousel - panoramio.jpg,Arc_de_T\front_left\Paris - Arc de Triomphe du Carrousel - PA00085992 - 019.jpg,False
Arc_de_T\front\Paris 20080801 - Arc de Triomphe du Carrousel.jpg,"Arc_de_T\front_left\Arc de Triomphe du Carrousel and the Pavillon de Flore, Paris 1981.jpg",False
Arc_de_T\front_left\La France.jpg,"Arc_de_T\front_right\Arc de Triomphe du Carrousel, Paris 5 February 2019.jpg",False
"Arc_de_T\right\Right side view of the Arc de Triomphe du Carrousel, 28 May 2017.jpg","Arc_de_T\front\Arc de Triomphe du Carrousel, Paris 14 July 2016 001.jpg",False
"Arc_de_T\front_left\Arc de Triomphe du Carrousel, Paris, France - panoramio (66).jpg",Arc_de_T\front\Paris - Arc de Triomphe du Carrousel - panoramio.jpg,False
"Arc_de_T\back\Paris, les Tuileries - Library of Congress.jpg",Arc_de_T\front\Arc Triomphe Carrousel façade est Paris 2.jpg,False
Arc_de_T\front\État actuel de la place du Carrousel.jpg,Arc_de_T\back\Arc Triomphe Carrousel façade ouest Paris 1.jpg,False
"Arc_de_T\front\Vue générale de face de l'Arc de Triomphe du Carrousel, Paris, avril 1898.jpg","Arc_de_T\front_left\LOUVRE, Place du Carrousel, Arc de triomphe de Carrousel, Paris (2).jpg",False
Arc_de_T\front\Arc Triomphe Carrousel façade est Paris 19.jpg,Arc_de_T\front_right\Musée du Louvre (Paris) (3).jpg,False
"Arc_de_T\front_left\Paris Arc de Triomphe du Carrousel, 8 October 2011.jpg","Arc_de_T\front\Arc de Triomphe du Carrousel, Paris 17 April 2014.jpg",False
Arc_de_T\front_left\Paris l'Arc de triomphe du Carousel.jpg,"Arc_de_T\back\Paris, les Tuileries - Library of Congress.jpg",False
Arc_de_T\front\Capitulation Ulm Arc Triomphe Carrousel façade est Paris 2.jpg,"Arc_de_T\front\La capitulation d'Ulm by Pierre Cartellier, Paris 15 August 2013.jpg",True
Arc_de_T\back\Paris Arc du Carrousel W 01a.jpg,"Arc_de_T\back\Arc de Triomphe du Carrousel from Tuileries, Paris 16 April 2014 002.jpg",True
Arc_de_T\back\Arc Triomphe Carrousel façade ouest Paris 1.jpg,Arc_de_T\front_right\The Arc de Triomphe du Carrousel - panoramio.jpg,False
Arc_de_T\front\Outside the Musee du Louvre (2518666275).jpg,Arc_de_T\front_right\Place du Carrousel (3665886945).jpg,False
Arc_de_T\back\Paris Sous la neige (42938743524).jpg,Arc_de_T\front_right\Arc de Triomphe du Carrousel - panoramio (1).jpg,False
"Arc_de_T\front_left\Les Ruines de Paris et de ses Environs 1870-1871, Cent Photographies, Premier Volume. DP161583.jpg",Arc_de_T\back\Carrusel del Louvre - París (4757352447).jpg,False
Arc_de_T\front\Carrousel 30 mars 2019.jpg,Arc_de_T\front\Upper part of Arc de triomphe du Carrousel.jpg,True
Arc_de_T\front\Arco - panoramio - anibal amaro.jpg,Arc_de_T\front_left\Paris 06 2012 Arc de Triomphe du Carrousel 2944.jpg,False
Arc_de_T\front\Paris - Arc de Triomphe du Carrousel - PA00085992 - 028.jpg,Arc_de_T\back\Arc Triomphe Carrousel - Paris I (FR75) - 2021-05-31 - 3.jpg,False
"Arc_de_T\back\Arc de Triomphe du Carrousel April 16, 2007.jpg",Arc_de_T\front\État actuel de la place du Carrousel.jpg,False
"Arc_de_T\back\The Arch from the Jardin des Tuileries, Paris 23 August 2016.jpg","Arc_de_T\back\Arc de triomphe, parc des Tuileries, Paris 2009.jpg",True
"Arc_de_T\front\Arc de Triomphe du Carrousel, Louvre, Paris 2007.jpg",Arc_de_T\front_left\Arc de Triomphe du Carrousel (31179511275).jpg,False
